date,indicator_name,classification1,classification2,close
2025-01-01,消費税を除く国内企業物価指数,(参考)夏季電力料金調整後,小類別/__電力,134.1
2025-01-01,消費税を除く国内企業物価指数,(参考)夏季電力料金調整後,類別/_電力・都市ガス・水道,136.9
2025-01-01,消費税を除く国内企業物価指数,品目,18リットル缶,133.2
2025-01-01,消費税を除く国内企業物価指数,品目,あん,114.1
2025-01-01,消費税を除く国内企業物価指数,品目,うず巻ポンプ,121.0
2025-01-01,消費税を除く国内企業物価指数,品目,うま味・風味調味料,109.1
2025-01-01,消費税を除く国内企業物価指数,品目,おう版印刷物,111.9
2025-01-01,消費税を除く国内企業物価指数,品目,かつおパック,137.5
2025-01-01,消費税を除く国内企業物価指数,品目,かばん・袋物,106.9
2025-01-01,消費税を除く国内企業物価指数,品目,がん具,106.5
2025-01-01,消費税を除く国内企業物価指数,品目,ころ軸受,113.4
2025-01-01,消費税を除く国内企業物価指数,品目,こんにゃく,114.1
2025-01-01,消費税を除く国内企業物価指数,品目,しょう油,117.7
2025-01-01,消費税を除く国内企業物価指数,品目,しらす干し,140.2
2025-01-01,消費税を除く国内企業物価指数,品目,すし・弁当・おにぎり,126.4
2025-01-01,消費税を除く国内企業物価指数,品目,そう菜,113.9
2025-01-01,消費税を除く国内企業物価指数,品目,たばこ,115.5
2025-01-01,消費税を除く国内企業物価指数,品目,たれ・めんつゆ,107.6
2025-01-01,消費税を除く国内企業物価指数,品目,つくだ煮,114.1
2025-01-01,消費税を除く国内企業物価指数,品目,てん菜,141.6
2025-01-01,消費税を除く国内企業物価指数,品目,でん粉,138.3
2025-01-01,消費税を除く国内企業物価指数,品目,ねり製品,119.6
2025-01-01,消費税を除く国内企業物価指数,品目,はかり,121.8
2025-01-01,消費税を除く国内企業物価指数,品目,はん用内燃機関,119.8
2025-01-01,消費税を除く国内企業物価指数,品目,ばね,113.1
2025-01-01,消費税を除く国内企業物価指数,品目,ひき割,142.5
2025-01-01,消費税を除く国内企業物価指数,品目,ひき角,126.8
2025-01-01,消費税を除く国内企業物価指数,品目,ぶどう糖・水あめ,136.0
2025-01-01,消費税を除く国内企業物価指数,品目,みそ,110.4
2025-01-01,消費税を除く国内企業物価指数,品目,アイスクリーム,115.3
2025-01-01,消費税を除く国内企業物価指数,品目,アクリロニトリル,185.3
2025-01-01,消費税を除く国内企業物価指数,品目,アスファルト,188.3
2025-01-01,消費税を除く国内企業物価指数,品目,アスファルト塗工紙,121.0
2025-01-01,消費税を除く国内企業物価指数,品目,アルカリ・リチウムイオン蓄電池,103.9
2025-01-01,消費税を除く国内企業物価指数,品目,アルミニウムサッシ,131.4
2025-01-01,消費税を除く国内企業物価指数,品目,アルミニウム合金ダイカスト,129.1
2025-01-01,消費税を除く国内企業物価指数,品目,アルミニウム合金・同二次合金地金,202.3
2025-01-01,消費税を除く国内企業物価指数,品目,アルミニウム製飲料用缶,125.4
2025-01-01,消費税を除く国内企業物価指数,品目,アルミニウム鍛造品,128.7
2025-01-01,消費税を除く国内企業物価指数,品目,アルミ圧延製品,147.7
2025-01-01,消費税を除く国内企業物価指数,品目,イグニッションコイル,114.5
2025-01-01,消費税を除く国内企業物価指数,品目,ウイスキー,115.1
2025-01-01,消費税を除く国内企業物価指数,品目,エチレン,204.0
2025-01-01,消費税を除く国内企業物価指数,品目,エレベータ,128.3
2025-01-01,消費税を除く国内企業物価指数,品目,カメラ用交換レンズ,122.0
2025-01-01,消費税を除く国内企業物価指数,品目,カーエアコン・同部品,110.0
2025-01-01,消費税を除く国内企業物価指数,品目,ガス暖房・調理装置,125.4
2025-01-01,消費税を除く国内企業物価指数,品目,ガソリン,139.5
2025-01-01,消費税を除く国内企業物価指数,品目,ガラス容器,140.9
2025-01-01,消費税を除く国内企業物価指数,品目,ガラス繊維・同製品,131.3
2025-01-01,消費税を除く国内企業物価指数,品目,ガラス製加工素材,98.2
2025-01-01,消費税を除く国内企業物価指数,品目,キシレン,221.3
2025-01-01,消費税を除く国内企業物価指数,品目,キャンデー,117.5
2025-01-01,消費税を除く国内企業物価指数,品目,クッキングヒーター,112.4
2025-01-01,消費税を除く国内企業物価指数,品目,クラフト紙,126.7
2025-01-01,消費税を除く国内企業物価指数,品目,クレーン,137.9
2025-01-01,消費税を除く国内企業物価指数,品目,コンクリートブロック,129.5
2025-01-01,消費税を除く国内企業物価指数,品目,コンクリート機械,120.9
2025-01-01,消費税を除く国内企業物価指数,品目,コンクリート管・ポール・パイル,139.2
2025-01-01,消費税を除く国内企業物価指数,品目,コントロールユニット,102.6
2025-01-01,消費税を除く国内企業物価指数,品目,コンバイン,108.1
2025-01-01,消費税を除く国内企業物価指数,品目,コンベヤ,109.5
2025-01-01,消費税を除く国内企業物価指数,品目,コーヒー,146.1
2025-01-01,消費税を除く国内企業物価指数,品目,コーヒー飲料,116.9
2025-01-01,消費税を除く国内企業物価指数,品目,ゴムベルト,110.0
2025-01-01,消費税を除く国内企業物価指数,品目,ゴムホース,109.9
2025-01-01,消費税を除く国内企業物価指数,品目,ゴムロール,107.4
2025-01-01,消費税を除く国内企業物価指数,品目,ゴム練生地,156.3
2025-01-01,消費税を除く国内企業物価指数,品目,ゴム製パッキン,103.3
2025-01-01,消費税を除く国内企業物価指数,品目,サプリメント,103.0
2025-01-01,消費税を除く国内企業物価指数,品目,サーミスタ,106.6
2025-01-01,消費税を除く国内企業物価指数,品目,シャシー・車体構成部品,116.7
2025-01-01,消費税を除く国内企業物価指数,品目,シャッター,136.4
2025-01-01,消費税を除く国内企業物価指数,品目,ショートニング,160.0
2025-01-01,消費税を除く国内企業物価指数,品目,シリアル,116.4
2025-01-01,消費税を除く国内企業物価指数,品目,シリコンウエハ,108.4
2025-01-01,消費税を除く国内企業物価指数,品目,シンナー,127.5
2025-01-01,消費税を除く国内企業物価指数,品目,ジェット燃料油,196.9
2025-01-01,消費税を除く国内企業物価指数,品目,ジュエリー,149.2
2025-01-01,消費税を除く国内企業物価指数,品目,ジュース,127.9
2025-01-01,消費税を除く国内企業物価指数,品目,スチレンモノマー,218.4
2025-01-01,消費税を除く国内企業物価指数,品目,スチール机・いす,127.6
2025-01-01,消費税を除く国内企業物価指数,品目,ステンレス冷延鋼板,150.6
2025-01-01,消費税を除く国内企業物価指数,品目,ステンレス鋼管,103.4
2025-01-01,消費税を除く国内企業物価指数,品目,スナック菓子,125.0
2025-01-01,消費税を除く国内企業物価指数,品目,スポーツドリンク,117.8
2025-01-01,消費税を除く国内企業物価指数,品目,センサデバイス,106.7
2025-01-01,消費税を除く国内企業物価指数,品目,ソース,131.0
2025-01-01,消費税を除く国内企業物価指数,品目,ソーダ工業製品,128.7
2025-01-01,消費税を除く国内企業物価指数,品目,タオル,118.4
2025-01-01,消費税を除く国内企業物価指数,品目,タービン,115.9
2025-01-01,消費税を除く国内企業物価指数,品目,ダイオード・整流素子,119.4
2025-01-01,消費税を除く国内企業物価指数,品目,ダイヤモンド工具,113.1
2025-01-01,消費税を除く国内企業物価指数,品目,チューインガム,112.9
2025-01-01,消費税を除く国内企業物価指数,品目,チョコレート,148.7
2025-01-01,消費税を除く国内企業物価指数,品目,チーズ,115.8
2025-01-01,消費税を除く国内企業物価指数,品目,ティッシュペーパー,117.2
2025-01-01,消費税を除く国内企業物価指数,品目,トイレットペーパー,120.4
2025-01-01,消費税を除く国内企業物価指数,品目,トラック,104.5
2025-01-01,消費税を除く国内企業物価指数,品目,トランジスタ,101.2
2025-01-01,消費税を除く国内企業物価指数,品目,ドラム缶,150.5
2025-01-01,消費税を除く国内企業物価指数,品目,ナフサ,227.7
2025-01-01,消費税を除く国内企業物価指数,品目,ノンアルコール飲料,107.0
2025-01-01,消費税を除く国内企業物価指数,品目,ノーカーボン紙・粘着紙,134.9
2025-01-01,消費税を除く国内企業物価指数,品目,バス,105.4
2025-01-01,消費税を除く国内企業物価指数,品目,バター,119.4
2025-01-01,消費税を除く国内企業物価指数,品目,バルブ,129.2
2025-01-01,消費税を除く国内企業物価指数,品目,パイプ加工品,108.3
2025-01-01,消費税を除く国内企業物価指数,品目,パレット,122.6
2025-01-01,消費税を除く国内企業物価指数,品目,パン粉,119.9
2025-01-01,消費税を除く国内企業物価指数,品目,パーソナルコンピュータ,110.1
2025-01-01,消費税を除く国内企業物価指数,品目,ビスケット類,112.2
2025-01-01,消費税を除く国内企業物価指数,品目,ビデオ機器・デジタルカメラ,121.5
2025-01-01,消費税を除く国内企業物価指数,品目,ビール,101.8
2025-01-01,消費税を除く国内企業物価指数,品目,ピストンリング,106.3
2025-01-01,消費税を除く国内企業物価指数,品目,フェノール・ビスフェノールＡ,136.5
2025-01-01,消費税を除く国内企業物価指数,品目,フェルト生地・不織布,110.5
2025-01-01,消費税を除く国内企業物価指数,品目,フェロマンガン,171.9
2025-01-01,消費税を除く国内企業物価指数,品目,フォトマスク,121.5
2025-01-01,消費税を除く国内企業物価指数,品目,フォークリフトトラック・同部品,116.8
2025-01-01,消費税を除く国内企業物価指数,品目,フッ素樹脂,144.5
2025-01-01,消費税を除く国内企業物価指数,品目,ブタン・ブチレン・ブタジエン,232.9
2025-01-01,消費税を除く国内企業物価指数,品目,ブリキ・クロムめっき鋼板,141.5
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチックフィルム・シート,119.5
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック加工機械,106.7
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック床材,123.8
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック板,122.4
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック管,151.7
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック継手,127.7
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック被覆銅線,191.6
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック製中空成形容器,109.4
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック製容器（除中空成形）,124.6
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック製日用品,106.6
2025-01-01,消費税を除く国内企業物価指数,品目,プラスチック雨どい,120.9
2025-01-01,消費税を除く国内企業物価指数,品目,プリント配線板,115.3
2025-01-01,消費税を除く国内企業物価指数,品目,プレストレストコンクリート製品,134.6
2025-01-01,消費税を除く国内企業物価指数,品目,プレス機械,107.6
2025-01-01,消費税を除く国内企業物価指数,品目,プログラマブルコントローラ,100.3
2025-01-01,消費税を除く国内企業物価指数,品目,プロピレン,194.6
2025-01-01,消費税を除く国内企業物価指数,品目,ベンゼン,270.9
2025-01-01,消費税を除く国内企業物価指数,品目,ペットフード,125.6
2025-01-01,消費税を除く国内企業物価指数,品目,ボイラ,102.8
2025-01-01,消費税を除く国内企業物価指数,品目,ボルト・ナット,131.9
2025-01-01,消費税を除く国内企業物価指数,品目,ボンベ,144.4
2025-01-01,消費税を除く国内企業物価指数,品目,ポリアミド樹脂,139.4
2025-01-01,消費税を除く国内企業物価指数,品目,ポリエチレン,171.8
2025-01-01,消費税を除く国内企業物価指数,品目,ポリカーボネート,139.1
2025-01-01,消費税を除く国内企業物価指数,品目,ポリスチレン,170.7
2025-01-01,消費税を除く国内企業物価指数,品目,ポリフェニレンサルファイド,121.8
2025-01-01,消費税を除く国内企業物価指数,品目,ポリプロピレン,171.5
2025-01-01,消費税を除く国内企業物価指数,品目,ポルトランドセメント,147.1
2025-01-01,消費税を除く国内企業物価指数,品目,マシニングセンタ,115.9
2025-01-01,消費税を除く国内企業物価指数,品目,マーガリン,135.2
2025-01-01,消費税を除く国内企業物価指数,品目,ミネラルウォーター,121.5
2025-01-01,消費税を除く国内企業物価指数,品目,メタクリル樹脂,141.3
2025-01-01,消費税を除く国内企業物価指数,品目,ヨーグルト,110.7
2025-01-01,消費税を除く国内企業物価指数,品目,ライナー,129.9
