date,indicator_name,category,region,refresh,close
2020-01-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,102.208517376448
2020-02-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,101.708475706309
2020-03-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,100.908409034086
2020-04-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,99.0082506875573
2020-05-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,98.5082090174181
2020-06-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,99.1082590215851
2020-07-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,99.5082923576965
2020-08-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,99.7083090257521
2020-09-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,99.7083090257521
2020-10-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,99.80831735978
2020-11-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,99.7083090257521
2020-12-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,100.108342361863
2021-01-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,100.708392366031
2021-02-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,101.20843403617
2021-03-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,101.908492374365
2021-04-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,102.908575714643
2021-05-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,103.308609050754
2021-06-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,103.808650720893
2021-07-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,104.808734061172
2021-08-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,105.008750729227
2021-09-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,105.308775731311
2021-10-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,107.108925743812
2021-11-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,107.708975747979
2021-12-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,107.608967413951
2022-01-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,108.409034086174
2022-02-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,108.909075756313
2022-03-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,109.709142428536
2022-04-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,110.90924243687
2022-05-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,111.009250770898
2022-06-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,112.009334111176
2022-07-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,112.609384115343
2022-08-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,113.009417451454
2022-09-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,113.609467455621
2022-10-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,114.6095507959
2022-11-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,115.009584132011
2022-12-01,Domestic Corporate Goods Price Index,Inflation,Japan,monthly,115.209600800067
2026-03-15,Japan Manufacturing PMI,PMI,Japan,monthly,53.0
